iter	Logloss
0	0.5766704495
1	0.504008545
2	0.4416181851
3	0.3959236125
4	0.360267351
5	0.324349372
6	0.2932473139
7	0.2682571989
8	0.2500821459
9	0.2347676666
10	0.2224366388
11	0.2113942396
12	0.2020562069
13	0.1944063772
14	0.1879273929
15	0.1820866335
16	0.1774571586
17	0.173496821
18	0.1702813976
19	0.1673744921
20	0.1644839924
21	0.1623881197
22	0.1608595649
23	0.1594020474
24	0.1577965414
25	0.1560527532
26	0.1545798764
27	0.1533998211
28	0.1523934578
29	0.1512600703
30	0.1504094095
31	0.1495462151
32	0.14863066
33	0.1475542786
34	0.1468219123
35	0.1462257251
36	0.1453529588
37	0.1446303775
38	0.1442529319
39	0.1435847658
40	0.1427421445
41	0.1423484395
42	0.1417597704
43	0.1412181689
44	0.1406736612
45	0.1401250736
46	0.1397519313
47	0.1393629033
48	0.1390226285
49	0.1384861402
50	0.1380414518
51	0.137682556
52	0.1373042339
53	0.1369421109
54	0.1366338541
55	0.1362261087
56	0.1357859399
57	0.1355448028
58	0.1353464152
59	0.1350762342
60	0.1347954465
61	0.1346177023
62	0.134140521
63	0.1337377164
64	0.1334710984
65	0.1332596569
66	0.1329952356
67	0.1327350738
68	0.1323215454
69	0.132013669
70	0.1316991882
71	0.1314208021
72	0.1312028792
73	0.1308978578
74	0.1306786065
75	0.1302966344
76	0.1301151347
77	0.1298012817
78	0.1294703408
79	0.1292757869
80	0.1290257307
81	0.1288043404
82	0.1285477102
83	0.1284089241
84	0.1281833068
85	0.127967932
86	0.1276987886
87	0.1274901847
88	0.1272766225
89	0.1270963797
90	0.1269368781
91	0.1266827087
92	0.1264994814
93	0.1263105669
94	0.1261517891
95	0.1259776746
96	0.1257672499
97	0.1256045833
98	0.1254048239
99	0.125230345
100	0.1250312717
101	0.1249089243
102	0.1247892791
103	0.1245832448
104	0.1244867739
105	0.1243482866
106	0.124145289
107	0.1239577229
108	0.1237984971
109	0.1236509489
110	0.1234968326
111	0.1233671437
112	0.1232023423
113	0.1229758344
114	0.1228436144
115	0.1226851013
116	0.1225541582
117	0.1223330218
118	0.1222131188
119	0.1220004159
120	0.1218460176
121	0.1217070418
122	0.1215396687
123	0.1213718495
124	0.1211797907
125	0.1210831563
126	0.1209495808
127	0.1208378265
128	0.1207042306
129	0.1205919634
130	0.1204906689
131	0.1203304091
132	0.1201889944
133	0.1200519878
134	0.1199230099
135	0.1198020685
136	0.1196542102
137	0.1195687611
138	0.1194734221
139	0.1193429111
140	0.119244136
141	0.119055311
142	0.1189424829
143	0.1187967201
144	0.1186647078
145	0.1185403592
146	0.1183407216
147	0.1182808944
148	0.1181434988
149	0.1179993523
150	0.117816299
151	0.1177420671
152	0.1176063834
153	0.1174818037
154	0.1173726551
155	0.1172613079
156	0.1171137498
157	0.1169956882
158	0.1168881068
159	0.1167200806
160	0.1165931649
161	0.1164967571
162	0.1163711751
163	0.1161954254
164	0.1160462231
165	0.1159219623
166	0.1158178578
167	0.1156984399
168	0.1155569378
169	0.11543379
170	0.1153729316
171	0.1152757579
172	0.1151359317
173	0.1150849078
174	0.114957754
175	0.114829438
176	0.1146847098
177	0.1146059873
178	0.1144598606
179	0.1143525833
180	0.1142176517
181	0.1140742859
182	0.1139435323
183	0.1138153821
184	0.11369493
185	0.1136039099
186	0.113505044
187	0.1133717854
188	0.1132935587
189	0.1131636828
190	0.1130407978
191	0.1128857072
192	0.1128068234
193	0.1127078618
194	0.1125752501
195	0.1124821128
196	0.1123626208
197	0.1122129493
198	0.112087675
199	0.111923034
200	0.111797487
201	0.1116291183
202	0.1115407401
203	0.1114618143
204	0.1113720623
205	0.1112576505
206	0.1111798077
207	0.1110667671
208	0.1109678735
209	0.1108579869
210	0.1107249419
211	0.1105385906
212	0.1104449827
213	0.11033504
214	0.1102392478
215	0.1101122502
216	0.1099611194
217	0.1098995724
218	0.1098122134
219	0.1096950071
220	0.1095667838
221	0.1094774244
222	0.1093963832
223	0.109278405
224	0.1091882309
225	0.1090921088
226	0.1089969591
227	0.1088915797
228	0.1087740478
229	0.1086701415
230	0.1085264427
231	0.1084116711
232	0.1083016706
233	0.1082072656
234	0.1080592026
235	0.107929642
236	0.1078440411
237	0.1077069239
238	0.1075920432
239	0.1075059357
240	0.1073852632
241	0.1072825617
242	0.1072052035
243	0.1071191067
244	0.1070250827
245	0.1069350961
246	0.1068379707
247	0.1067139472
248	0.106610203
249	0.1065414002
250	0.1064650237
251	0.1063142436
252	0.1062551114
253	0.1060798032
254	0.1060250395
255	0.1058850209
256	0.1057556702
257	0.1056441478
258	0.1055763163
259	0.1055189551
260	0.1054468954
261	0.1053142122
262	0.1052086713
263	0.1051437036
264	0.1050283747
265	0.1049438131
266	0.1048619244
267	0.1047142072
268	0.1045971978
269	0.104476211
270	0.1044064191
271	0.1043211814
272	0.1042083492
273	0.1041272652
274	0.1040329421
275	0.1039668914
276	0.1039040385
277	0.1038038571
278	0.1036268799
279	0.1035230689
280	0.1034401033
281	0.103369189
282	0.1032641422
283	0.1031636573
284	0.1030821554
285	0.102945753
286	0.1028663533
287	0.1027728107
288	0.1026577061
289	0.102579212
290	0.1024986989
291	0.1023961232
292	0.1023207382
293	0.1022560578
294	0.1021621129
295	0.1020746402
296	0.101929941
297	0.1018431634
298	0.1017279118
299	0.1016356993
