회사명,거래소코드,회계년도,소속코드,통계청 한국표준산업분류 코드 10차(대분류),산업코드,산업명,산업분류,산업분류_제조업,상장일,상장폐지일,총자본증가율,유형자산증가율,유동자산증가율,재고자산증가율,자기자본증가율,매출액증가율,매출액정상영업이익률,매출액순이익률,자기자본순이익률,자본금순이익률,기업순이익률,매출원가 대 매출액비율,금융비용 대 총비용비율,감가상각률,차입금평균이자율,사내유보율,평균배당률,자기자본배당률,배당성향,자기자본구성비율,비유동비율,비유동장기적합률,유동비율,당좌비율,현금비율,매출채권 대 매입채무비율,부채비율,유동부채비율,비유동부채비율,차입금의존도,자기자본회전률,자본금회전률,매입채무회전률,재고자산회전률,비유동자산회전률,유형자산회전율,총자본투자효율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,인건비(백만원),금융비용(백만원),임차료(백만원),세금과공과(백만원),감가상각비(백만원),부채대비영업활동현금흐름,자본대비영업활동현금흐름,매출액대비영업활동현금흐름,3년지수가중평균매출액,업력,연 변동성,PER,PBR,건설업,부동산업,label
(주)SIMPAC,A009160,2021,1,24,29,기타기계및장비제조업,C,C10,1989.7.29,,22.51,-2.95,53.49,29.3,17.82,67.55,17.36,14.82,17.98,277.65,11,73.99,-0.11,13.1,2.2,100,34.15,2.27,17.11,60.52,66.04,63.13,163.62,112.22,65.94,216.63,65.23,60.62,4.61,19.86,1.21,18.74,14.03,4.06,1.65,2.73,19.83,81.87,881.2,29.22,28.94,51842.45,-574.45,0,0,12189.39,0.202417208,0.126150953,0.273764971,55477798.5,49,0.614147598,10.94,0.9,0,0,0
(주)SIMPAC,A009160,2022,1,24,24,1차금속제조업,C,C7,1989.7.29,,6.85,9.16,6.38,22.84,9.7,9.66,17.69,11.33,13.28,232.73,8.23,73.87,0.13,10.87,2.73,100,33.18,2.1,22.84,62.14,64.76,62.06,169.96,108.3,61.66,584.14,60.93,56.59,4.35,25.13,1.17,20.55,24.21,3.54,1.79,2.91,16.46,68.11,751.72,23.63,33.27,52839.97,783.86,0,0,9588.09,0.008233892,0.005185812,0.019932769,55122958.47,50,0.410497428,2.89,0.48,0,0,0
(주)STX,A011810,2014,1,46,46,도매및상품중개업,G,,1990.9.12,,-6.52,-49.85,12.6,120.72,0,-33.27,2.18,23.28,0,332.98,32.06,92.58,1.94,5.08,4.04,0,0,0,0,7.46,385.85,77.5,113.3,86.97,14.11,180.51,1239.93,842.07,397.86,70.99,0,14.3,9.99,10.84,3.59,10.1,40.25,467.4,332342.76,30.9,17.28,87303,35755,8679,2298,9178,-0.05050368,0.365850082,-0.169057108,217147266.7,39,0.839182865,0,0,0,0,1
(주)TCC스틸,A002710,2014,1,24,24,1차금속제조업,C,C7,1984.12.21,,1.34,-3.15,5.99,6.11,-7.98,3.63,0.07,-3.05,-7.71,-81.69,-0.69,93.18,2.21,10.34,5.18,0,9.91,0.9,86.32,34.31,168.1,118.87,82.22,38.38,2.07,227.51,191.48,150.05,41.42,50.77,2.63,28.05,13.53,4.3,1.62,3.37,12.09,45.14,139.32,12.84,84.95,56610.96,12015.7,0,0,13625.33,-0.061264228,-0.108620703,-0.150885662,43344598.2,57,0.171077361,0,0.25,0,0,0
(주)TCC스틸,A002710,2016,1,24,24,1차금속제조업,C,C7,1984.12.21,,-24.84,-9.97,-49.71,5.89,20.26,-10.36,3.45,3.81,17.99,75.96,6.67,90.65,1.11,11.62,4.26,100,0,0,0,36.53,156.9,85.94,128.15,73.14,9.46,224.23,173.78,91.2,82.58,41.38,4.69,19.89,13.93,8.82,2.98,6.51,28.79,126.13,435.09,18.33,57.28,46664.61,5047.63,0,0,6381.22,-0.150111662,-0.37257098,-0.346744222,35944180.87,59,0.35085579,0,0.64,0,0,0
(주)TCC스틸,A002710,2017,1,24,24,1차금속제조업,C,C7,1984.12.21,,-1.49,-8.89,-0.44,1.78,-2.32,-11.94,2.07,0.38,1.5,6.85,1.69,91.21,0.82,12.24,4.25,100,0,0,0,36.21,157.01,133.55,75.13,42.16,5.42,238.94,176.16,158.6,17.57,46.09,3.83,17.52,17.12,7.48,2.44,6.33,22.06,104.36,350.73,15.71,77.14,47434.45,3243.19,0,0,5733.16,-0.0065423,-0.011446153,-0.012783447,31757575.57,60,0.264556116,2.34,0.41,0,0,0
(주)TCC스틸,A002710,2018,1,24,24,1차금속제조업,C,C7,1984.12.21,,9.36,-5.2,26.55,31.13,11.28,5.57,4.13,2.36,9.19,43.72,4.32,91.46,0.69,12.93,4.12,100,7.64,1.74,22.56,36.83,135.97,72.12,163.32,89.05,24.95,127.35,171.53,83.01,88.52,40.33,3.88,18.49,15.53,6.78,2.66,7.2,24.93,136.75,509.41,18.39,69.01,52444.71,2850.29,0,0,5336.28,0.116075109,0.201649522,0.194514822,34341153.2,61,0.368967213,27.78,0.44,0,0,0
(주)TCC스틸,A002710,2019,1,24,24,1차금속제조업,C,C7,1984.12.21,,3.09,6.16,-2.09,4.95,4.11,5.81,2.94,1.15,4.42,22.59,2.8,92.78,0.83,15.86,4.4,100,2.86,0.66,32.07,37.19,141.4,111.47,89.76,46.01,9.02,152.02,168.92,142.07,26.85,43.02,3.82,19.57,13.95,6.17,2.75,7.59,23.69,131.01,444.25,17.03,72.07,53640.45,3642.07,0,0,6394.81,-0.034607693,-0.058901124,-0.061801913,35339958.17,62,0.333624165,6.02,0.56,0,0,0
(주)TCC스틸,A002710,2020,1,24,24,1차금속제조업,C,C7,1984.12.21,,-2.37,3.13,-8.14,-25.31,0.58,-1.23,0.22,-0.39,-1.3,-6.69,0.96,95.26,1.05,15.39,4.4,100,3.65,0.86,0,39.49,140.26,98.21,102.32,61.77,10.39,275.16,153.25,110.42,42.82,45.81,3.63,19.05,17.77,6.81,2.58,7.17,20.58,103.25,413.69,14.62,82.66,52172.23,4664.73,0,0,6728.98,-0.029201937,-0.046997552,-0.052211017,36133804.63,63,0.832888796,23.51,1.07,0,0,0
(주)TCC스틸,A002710,2021,1,24,24,1차금속제조업,C,C7,1984.12.21,,19.64,3.58,47.58,37.69,28.74,24.28,4.77,5.35,21.49,123.9,9.8,90.89,0.81,16.57,3.89,0,14.8,2.73,12.02,42.3,106.3,72.28,145.64,91.79,30.1,231.55,136.42,89.34,47.08,34.12,3.88,23.08,20.36,8.33,3.2,8.62,30.7,195.36,825.31,21,54.82,61769.02,4275.19,0,0,7468.78,0.038403407,0.055222682,0.050223689,43310741.5,64,0.531120344,0,1.94,0,0,0
(주)TCC스틸,A002710,2022,1,24,24,1차금속제조업,C,C7,1984.12.21,,38.28,92.62,36.84,56.81,35.05,27.53,6.43,4.32,16.54,120.05,8.22,88.49,0.94,16.11,5.01,100,11.86,1.73,12.98,41.15,110.68,90.42,109.72,63.23,12.94,148.01,143.04,120.64,22.4,36.82,3.76,28,13.72,7.14,3.46,7.38,23.05,196.75,760.5,17.09,58,67833.07,6367.25,0,0,7185.59,-0.047165703,-0.06613525,-0.069866257,51049911.63,65,0.606385,7.53,1.44,0,0,0
(주)강원랜드,A035250,2014,1,91,91,스포츠및오락관련서비스업,R,,2003.9.4,,8.8,0.13,26.97,-19.31,7.46,9.94,34.29,24.01,13.76,335.95,9.71,48.26,-4.44,5.86,0,0,161.1,6.34,47.37,80.16,74.05,72.83,219.66,219.47,16.33,161.91,24.76,23.08,1.67,0,0.57,13.99,545.99,1109.28,0.74,1.08,26.79,68.77,381.02,60.41,32.31,292097.04,-44969.88,0,85381.04,75635.48,0.813984543,0.195446244,1.366138059,116553688.1,17,0.288774553,20.71,2.58,0,0,0
(주)강원랜드,A035250,2015,1,91,91,스포츠및오락관련서비스업,R,,2003.9.4,,9.35,-2.45,27.6,34.59,10.81,9.17,36.44,27.03,15.49,412.87,11.35,46.5,-3.75,5.82,0,0,185.74,6.63,46.16,81.22,64.73,64.12,263.38,263.14,15.91,134.49,23.12,22.17,0.95,0,0.57,15.27,475.57,1155.97,0.83,1.19,27.67,79.18,471.26,62.51,29.37,299998.77,-40735.96,0,93965.26,74326.68,0.843819875,0.20163781,1.416602329,127385127,18,0.303345118,21.67,3.04,0,0,0
(주)강원랜드,A035250,2016,1,91,91,스포츠및오락관련서비스업,R,,2003.9.4,,7.81,-2.8,3.38,-19.25,8.51,3.84,36.46,26.79,14.55,424.97,10.84,46.28,-3.39,6.06,157.44,0,187.63,6.17,44.11,81.75,66.7,66.55,251.71,251.53,12.94,137.74,22.33,22.1,0.23,0.02,0.54,15.86,507.09,1157.58,0.83,1.27,26.22,82.57,544.04,61.49,29.92,312176.01,-38779.28,0,97962.75,75001.97,0.840538605,0.190861053,1.45474956,133834476.4,19,0.25178474,16.41,2.55,0,0,0
(주)강원랜드,A035250,2017,1,91,91,스포츠및오락관련서비스업,R,,2003.9.4,,5.19,-1.35,19.61,-0.76,7.64,-5.43,33.09,27.27,12.96,409.1,9.8,49.08,-3.37,6.27,20.24,0,187.63,5.73,45.92,83.65,57.73,57.68,317.65,317.46,15.49,138.43,19.55,19.46,0.09,0.03,0.48,15,497.86,1229.89,0.77,1.23,23.89,82.84,592.77,62.33,32.18,321795.37,-37377.4,0,75296.1,74229.35,0.656491128,0.137119488,1.159249305,134635158.1,20,0.234850334,15.52,2.29,0,0,0
(주)강원랜드,A035250,2018,1,91,91,스포츠및오락관련서비스업,R,,2003.9.4,,1.09,1.24,-18.72,-11.6,2.45,-10.37,29.95,20.67,8.39,277.95,6.02,50.73,-4.05,5.54,33.54,0,170.58,5.09,61.37,84.77,68.93,68.76,276.57,276.38,7.68,274.97,17.97,17.73,0.24,0,0.41,13.44,415.45,1174.68,0.64,1.1,19.7,64.76,420.96,57.96,39.78,331551.26,-43798.67,0,68904.24,66085.27,0.547704982,0.102685673,1.03424684,125923817.1,21,0.267777469,14.82,1.96,0,0,0
(주)강원랜드,A035250,2019,1,91,91,스포츠및오락관련서비스업,R,,2003.9.4,,4.89,4.3,6.77,216.55,3.65,5.7,32.97,22.02,9.16,312.85,6.76,48.46,-3.71,5.75,5.77,100,170.58,4.91,54.37,83.77,68.86,67.6,288.36,287.8,9.31,203.32,19.38,17.52,1.86,1.53,0.42,14.21,409.75,635.31,0.6,1.13,20.46,68.09,483.42,59.73,32.13,291704.76,-41639.45,0,96851.49,72328.89,0.59768692,0.111675503,1.093958788,123955719,22,0.229541677,20.18,1.77,0,0,0
