회사명,거래소코드,회계년도,소속코드,통계청 한국표준산업분류 코드 10차(대분류),산업코드,산업명,산업분류,산업분류_제조업,상장일,상장폐지일,총자본증가율,유형자산증가율,유동자산증가율,재고자산증가율,자기자본증가율,매출액증가율,매출액정상영업이익률,매출액순이익률,자기자본순이익률,자본금순이익률,기업순이익률,매출원가 대 매출액비율,금융비용 대 총비용비율,감가상각률,차입금평균이자율,사내유보율,평균배당률,자기자본배당률,배당성향,자기자본구성비율,비유동비율,비유동장기적합률,유동비율,당좌비율,현금비율,매출채권 대 매입채무비율,부채비율,유동부채비율,비유동부채비율,차입금의존도,자기자본회전률,자본금회전률,매입채무회전률,재고자산회전률,비유동자산회전률,유형자산회전율,총자본투자효율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,인건비(백만원),금융비용(백만원),임차료(백만원),세금과공과(백만원),감가상각비(백만원),부채대비영업활동현금흐름,자본대비영업활동현금흐름,매출액대비영업활동현금흐름,3년지수가중평균매출액,업력,연 변동성,PER,PBR,건설업,부동산업,label
(주)황금에스티,A032560,2017,1,24,24,1차금속제조업,C,C7,2009.10.29,,-2.21,-15.01,-12.2,-9.73,9.75,-0.26,12.24,10.08,9.66,286.73,6.46,78.21,0.54,10.62,2.29,0,20,0.76,12.52,68.02,89.91,75.79,201.2,133.82,38.18,296.47,47.01,28.38,18.63,20.31,0.95,32.1,14.57,4.51,1.04,1.47,18.75,49.71,307.61,30.34,40.07,27319.86,1105.24,3230.55,0,7712.43,0.233962521,0.131453618,0.518303475,18863980.2,32,0.314442775,6.08,0.64,0,0,0
(주)황금에스티,A032560,2018,1,24,24,1차금속제조업,C,C7,2009.10.29,,11.7,3.19,21.84,38.39,6.38,8.92,9.81,7.06,6.48,207.51,4.75,81.33,0.43,11.13,2.67,0,10,0.37,12.88,66.06,87.24,82.86,139.15,86.22,29.32,154.61,51.37,46.09,5.29,21.13,0.95,34.97,13.22,4.34,1.07,1.72,16.71,47.74,288.12,27.73,47.35,32137.32,987.41,2707.2,0,8289.2,0.079133663,0.03899914,0.164125056,20249248.27,33,0.613002861,5.47,0.5,0,0,0
(주)황금에스티,A032560,2019,1,24,24,1차금속제조업,C,C7,2009.10.29,,-3.93,-5.03,4.29,-9.63,8.51,-0.49,7.71,9.72,7.95,273.92,6.24,82.56,0.5,18.7,3.8,0,20,0.71,14.65,72.51,74.48,63.53,306.96,205.78,93.84,330.47,37.9,20.66,17.24,15.94,0.88,34.8,15.09,3.91,1.1,1.73,20.64,60.17,464.39,33.07,38.69,31167.35,1182.26,0,0,14051.36,0.258849621,0.115084334,0.505766005,20561913.33,34,0.385066148,6.73,0.42,0,0,0
(주)황금에스티,A032560,2020,1,24,24,1차금속제조업,C,C7,2009.10.29,,15.91,15.27,33.73,75.48,6.82,-1.7,9.92,8.34,6.46,239.42,4.7,80.58,-0.08,13.09,1.83,100,20,0.68,12.92,66.79,70.29,64.2,197.35,111.99,42.45,182.65,49.73,40.26,9.48,21.98,0.82,34.21,16.56,2.94,1.13,1.62,14.66,44.33,443.3,27.69,43.7,28971.67,-176.94,0,0,10024.69,-0.109580909,-0.048228454,-0.224571437,20826896.43,35,0.531697019,4.5,0.43,0,0,0
(주)황금에스티,A032560,2021,1,24,24,1차금속제조업,C,C7,2009.10.29,,-4.58,6.64,-14.5,-18.82,10.65,13.17,15.19,12.16,10.57,397.79,7.48,75.23,0.04,12.36,1.25,100,39.98,1.4,12.96,77.05,68.08,62.86,287.28,169.3,80.8,164.88,29.79,21.48,8.31,7.09,0.85,36.13,11.53,2.88,1.24,1.65,20.21,53.78,366.01,32.19,37.32,32561.65,100.67,0,0,10280.55,0.562559019,0.220991899,0.839101929,24390844.6,36,0.409543844,8.06,0.49,0,0,0
(주)황금에스티,A032560,2022,1,24,24,1차금속제조업,C,C7,2009.10.29,,11.67,-0.81,23.46,19.24,12.48,23.05,13.95,13.87,12.83,490.16,9.92,78.27,-0.32,11.87,1.87,100,39.97,1.37,15.13,77.49,61.21,58.54,277,167.14,72.54,228.43,29.05,24.49,4.56,10.9,0.94,40.42,13.34,3.61,1.47,1.98,19.72,57.32,422.8,28.49,35.12,33371.44,-938.47,0,0,10375.78,0.146905372,0.043190864,0.167966983,27671309.6,37,0.451640029,3.97,0.4,0,0,0
(주)후성,A093370,2014,1,20,20,화학물질및화학제품제조업;의약품제외,C,C5,2006.12.22,,-20.04,-26.71,7.04,5.55,-58.66,-8.06,-4.93,-36.73,-80.57,-160.73,-24.53,88.7,1.86,14.81,3.8,0,0,0,0,26.46,243.85,99.96,100.08,63.03,8.28,145.48,277.99,134.04,143.95,56.5,1.93,4.41,7.38,6.3,1.03,1.2,-5.12,-10.73,-24.82,-6.35,0,18809.91,4652.2,537.86,1073.01,21752.29,0.047863154,0.081377313,0.171354912,16164238.6,9,0.374979673,0,2.26,0,0,1
(주)휠라홀딩스,A081660,2014,1,46,46,도매및상품중개업,G,,2010.9.28,,6.58,-5.67,8.62,8.73,12.68,8.33,11.73,7.58,11,115.19,7.28,52.73,1.68,2.67,4.47,100,4.76,0.66,25.87,54.11,118.43,79.18,188.47,94.25,30.46,162.77,84.79,35.21,49.58,28.33,1.52,15.65,11.57,4.47,1.23,19.59,15.04,394.01,0,19.53,35.22,54843.01,12575.5,3826.94,0,9551.03,0.081718604,0.074119219,0.182692205,68573760.33,25,0.275926494,11.46,2.21,0,0,0
(주)휠라홀딩스,A081660,2015,1,46,46,도매및상품중개업,G,,2010.9.28,,-5.44,12.67,11.3,19.57,-15.12,2.29,9.88,-16.34,-25.41,-244.2,-12.21,54.78,1.84,2.63,3.5,100,5,0.73,0,48.94,117.96,79.9,152.33,70.53,17.28,172.59,104.33,56.7,47.63,32.07,1.57,15,11.7,4,1.33,19.41,-8.84,-202.8,0,-10.61,0,62411.23,10407.14,6579.47,0,9724.04,0.056260907,0.0527712,0.134758358,69179467.77,26,0.337994515,16.58,1.74,0,0,0
(주)휠라홀딩스,A081660,2016,1,46,46,도매및상품중개업,G,,2010.9.28,,245.78,673.55,199.91,174.02,78.7,18.56,1.22,32.17,48.35,569.37,15.05,56.68,1.81,2.15,2.52,100,5,0.77,0,38.47,164.64,97.81,104.02,52.98,12.52,258.3,159.95,91.62,68.33,34.77,1.09,17.03,8.67,2.33,0.71,4.97,18.22,187,758.44,63.79,22.1,136316.55,17150.38,12418.36,0,19945.13,-0.00272894,-0.003956576,-0.008508417,103606236.8,27,0.239575946,0,1.66,0,0,0
(주)휠라홀딩스,A081660,2017,1,46,46,도매및상품중개업,G,,2010.9.28,,-9.04,-6.08,-7,-5.01,-6.83,161.63,8.59,4.27,7.53,105.6,4.91,50.97,2.1,4.72,4.55,100,5,0.8,0,40.09,155.94,80.73,166.16,82.89,15.51,232.99,149.44,56.27,93.17,37.24,2,42.83,16.28,4.26,1.24,7.58,28.82,309.5,1383.76,35.07,63.4,562612.72,50495.79,26463.06,0,66113.49,0.015255072,0.023619997,0.048749988,157396190.5,28,0.273820995,2.87,1.09,0,0,0
(주)휠라홀딩스,A081660,2018,1,46,46,도매및상품중개업,G,,2010.9.28,,7.32,-3.96,15.93,9.31,24.12,16.77,12.09,7.11,16.03,234.88,8.22,50.33,1.94,4.86,5.1,100,5,0.76,5.1,45.59,130.53,74.71,199,104.96,22.16,207.23,119.34,44.63,74.71,29.75,2.16,48.35,15.42,4.88,1.52,9.32,32.59,374.85,1570.8,36.45,54.94,591659.42,52184.07,30503.39,0,65451.21,0.150780895,0.200381484,0.360526603,216005236.7,29,0.47749076,51.94,4.09,0,0,0
(주)휠라홀딩스,A081660,2019,1,46,46,도매및상품중개업,G,,2010.9.28,,14.1,41.3,18.61,16.33,26.01,16.78,13.64,9.8,23.81,436.52,11.08,49.87,1.75,6.37,5.5,100,22.82,2.83,12.9,47.77,121.24,75.22,182.95,98.15,26.75,237.95,109.35,48.16,61.19,28.05,2.09,56.46,15.9,5.05,1.66,9.2,35.31,327.39,1836.42,38.58,52.75,702176.91,53634.34,10805.26,0,93334.42,0.169432089,0.192982117,0.404199147,248726028.3,30,0.419914768,22.56,3.27,0,0,0
(주)휠라홀딩스,A081660,2020,1,46,46,도매및상품중개업,G,,2010.9.28,,-0.31,-7.7,6.25,-16.31,3.42,-9.32,10.9,6.32,10.94,227.49,6.17,50.63,1.19,6.62,3.53,100,18.15,2.72,0,49.42,111.58,75.01,169.38,107.54,47.28,248.5,102.36,53.6,48.76,26.67,1.71,51.2,15.09,4.63,1.47,7.41,31.63,311.15,1776.69,38,59,701412.84,34377.43,12683.79,0,100466.49,0.229951388,0.243286544,0.558725839,262477930.1,31,0.601528692,9.97,2.14,0,0,0
(주)휠라홀딩스,A081660,2021,1,46,46,도매및상품중개업,G,,2010.9.28,,14.11,3.2,21.06,23.11,24.64,21.26,12.99,8.9,16.2,384.9,8.91,50.44,0.62,6.62,2.52,100,98.33,12.26,66.11,53.78,97.45,69.43,194.14,122.06,66.5,154.34,85.95,45.58,40.36,19.19,1.82,62.08,15.24,5.53,1.76,9.21,34.42,396.97,2051.94,38.92,56.31,831321.84,20673.25,12399.77,0,99224.75,0.270148241,0.251960054,0.610477325,275493087.5,32,0.409931633,15.55,1.69,0,0,0
(주)휠라홀딩스,A081660,2022,1,46,46,도매및상품중개업,G,,2010.9.28,,12.43,19.51,12.36,70.3,16.49,11.28,10.31,11.07,19.71,562.43,10.9,51.93,0.75,6.86,3.31,100,73.75,8.75,33.51,53.39,98.21,67.8,209.88,91.77,37.29,160.58,87.29,42.44,44.84,26.73,1.73,69.08,14.47,4.12,1.77,9.2,32.53,354.87,1807.59,37.15,61.1,958336.13,29044.99,15408.73,0,112465.51,-0.065573257,-0.056821559,-0.154642897,288480040.9,33,0.38721148,8.5,1.24,0,0,0
(주)휴니드테크놀러지스,A005870,2014,1,26,26,"전자부품,컴퓨터,영상,음향및통신장비제조업",C,C8,1991.9.3,,1.42,-2.08,4.52,8.08,5.68,-29.1,0.97,4.09,2.63,3.17,0.25,84.07,-3.08,5.06,4.87,0,0,0,0,47.77,130.44,99.44,100.94,59.87,19.66,118,109.34,78.17,31.17,35.29,0.64,0.77,3.79,2.03,0.48,0.56,10.41,19.83,3003.26,34.8,71.76,10057.76,-1309.19,490.14,517.73,2461.66,0.016714256,0.018990514,0.054934724,7708420.933,46,0.342918744,0,0.77,0,0,0
(주)휴니드테크놀러지스,A005870,2015,1,26,26,"전자부품,컴퓨터,영상,음향및통신장비제조업",C,C8,1991.9.3,,21.9,-1.35,56.38,32.52,22.39,50.23,3.41,1.93,1.63,1.94,1.72,83.5,2.29,4.26,4.18,0,0,0,0,47.96,107.68,89.58,114.19,74.82,31.95,62.77,108.5,88.29,20.21,22.78,0.85,1,4.86,2.52,0.72,0.86,11.22,26.41,3101.64,30.43,72.65,13376.42,1399.07,653.11,555.21,2095.42,0.150398278,0.163746938,0.383331349,9076859.267,47,0.559439435,92.64,2.5,0,0,0
(주)휴니드테크놀러지스,A005870,2016,1,26,26,"전자부품,컴퓨터,영상,음향및통신장비제조업",C,C8,1991.9.3,,3.12,5.15,3.23,-5.42,25.33,195.68,10.5,10.02,20.21,26.17,10.99,83.84,0.25,6.19,2.7,0,0,0,0,58.29,88.51,74.64,156.77,107.24,52.69,27.86,71.55,52.97,18.58,23,2.02,2.61,11.31,6.72,2.08,2.5,25.88,59.76,879.39,24.48,47.29,20715.54,398.43,711.31,794.67,3201.58,0.308601847,0.271403182,0.164944809,28819880.6,48,0.426333917,130.77,2.33,0,0,0
(주)휴니드테크놀러지스,A005870,2017,1,26,26,"전자부품,컴퓨터,영상,음향및통신장비제조업",C,C8,1991.9.3,,-12.74,2.15,-16.17,1.76,11.08,1.07,9.29,9.72,16.88,25.07,11.59,82.55,0.47,7.14,4.9,0,0,0,0,74.21,72.09,65,262.72,161.96,42.28,202.95,34.75,23.85,10.9,11.48,1.74,2.58,14.12,6.93,2.17,2.44,33.89,66.83,752.53,27.67,55.59,27819.78,784.85,847.5,1006.67,3526,-0.154658944,-0.080707291,-0.053452452,42833463.9,49,0.331196474,8.43,1.61,0,0,0
(주)휴니드테크놀러지스,A005870,2018,1,26,26,"전자부품,컴퓨터,영상,음향및통신장비제조업",C,C8,1991.9.3,,53.89,-2.42,114.54,188.59,-0.92,44.48,11.46,10.14,24.28,37.52,13.89,82.64,-0.18,7.9,2.14,0,0,0,0,47.78,73.61,68.72,132.79,64.29,1.04,135.49,109.31,102.19,7.12,5.53,2.4,3.7,33.01,5.11,3.29,3.53,26.7,83.03,1000.99,23.22,46.44,28173.61,-435.36,835.22,1238.12,3571.31,0.652740114,0.46903685,0.366379031,48726570.1,50,0.38406531,6.8,0.98,0,0,0
(주)휴니드테크놀러지스,A005870,2019,1,26,26,"전자부품,컴퓨터,영상,음향및통신장비제조업",C,C8,1991.9.3,,14.83,-1.89,19.95,-17.83,6.69,-25.5,4.5,4.09,7.1,11.28,3.1,86.37,-0.21,9.65,1.75,0,0,0,0,44.39,72.7,68.65,127.81,82.64,19.7,38.9,125.26,119.36,5.9,4.53,1.73,2.76,16.01,2.81,2.37,2.69,17.35,63.17,851.23,23.26,67.08,30380.37,-399.64,471.6,1216.72,4367,-0.094869727,-0.111513854,-0.186604395,35623284.3,51,0.28427219,4.57,0.94,0,0,0
(주)휴니드테크놀러지스,A005870,2020,1,26,26,"전자부품,컴퓨터,영상,음향및통신장비제조업",C,C8,1991.9.3,,-4.02,-2.76,-1.04,47.62,2.99,1.75,5.34,2.88,4.86,8.09,2.3,85.7,0.09,9.73,2.72,0,0,0,0,47.63,63.34,59.09,142.69,67.47,53.33,25.55,109.94,102.74,7.19,5.61,1.68,2.81,9.63,2.56,2.48,2.8,17.29,63.54,1394.51,21.86,68.87,29820.46,164.41,709.8,1192.54,4147.39,0.256603531,0.301480626,0.268094065,38052807.93,52,0.800472153,9.68,0.69,0,0,0
(주)휴비스,A079980,2014,1,20,20,화학물질및화학제품제조업;의약품제외,C,C5,2012.2.23,,8.89,10.54,-9.02,-18.14,3.73,-10.52,3.17,2.07,7.53,16.25,3.62,89.02,0.21,10.54,2.4,0,5.72,2.84,45.46,42.73,126.17,100.73,99.16,68.52,9.6,81.84,134.04,108.78,25.26,23.23,3.65,7.95,5.96,9.64,3.21,3.65,16.8,39.11,104.26,11.02,51.86,78372.47,2825.28,0,0,31475.95,0.094606986,0.122734599,0.142010004,111540188.2,15,0.224200415,10.12,1.06,0,0,0
(주)휴비스,A079980,2015,1,20,20,화학물질및화학제품제조업;의약품제외,C,C5,2012.2.23,,-4.79,0.92,-11.57,-13.77,3.32,-12.15,2.79,1.75,5.44,12.14,3.1,88.72,0.51,11,3.4,0,5.72,2.74,45.03,46.34,123.41,93.08,111.04,77.57,12.52,82.54,115.78,83.19,32.6,23.67,3.08,6.99,6.43,10.1,2.47,3.04,19.21,41.71,106.84,13.65,55.49,91293.91,6137.7,0,0,36594.41,0.078971818,0.09852771,0.127504805,107370958.3,16,0.271896532,9.12,0.71,0,0,0
(주)휴비스,A079980,2016,1,20,20,화학물질및화학제품제조업;의약품제외,C,C5,2012.2.23,,6.72,13.96,1.04,8.44,0.24,-5.11,1.32,0.79,2.24,5.1,1.69,89.84,0.51,11.17,2.87,0,5.72,2.71,92.25,43.52,136.65,105.11,93.34,63.15,12.09,75,129.77,99.77,30.01,27.32,2.88,6.63,6.18,9.93,2.21,2.68,16.02,32.71,79.45,12.8,60.02,87875.45,5867.55,0,0,40135.99,0.08835357,0.108485722,0.145497676,101219697,17,0.248856506,12.91,0.72,0,0,0
(주)휴비스,A079980,2017,1,20,20,화학물질및화학제품제조업;의약품제외,C,C5,2012.2.23,,-1.51,-1.64,-1.01,7.22,2.32,12.02,2.31,1.81,5.64,12.98,3.3,88.79,0.53,12.32,3.15,0,5.72,2.68,70.83,45.24,130.99,105.04,93.47,60.72,12.34,72.6,121.02,96.32,24.7,22.94,3.18,7.43,6.24,10.32,2.38,2.84,20.97,43.18,107.41,14.74,55.9,105564.38,6738.13,0,0,46376.88,0.147817443,0.185282745,0.218820607,106571457.9,18,0.226338554,37.83,0.89,0,0,0
(주)휴비스,A079980,2018,1,20,20,화학물질및화학제품제조업;의약품제외,C,C5,2012.2.23,,6.42,-6.29,40.87,38.89,0.91,-1.44,2.72,1.5,4.58,10.71,2.83,89.55,0.58,12.21,3.57,0,5.72,2.76,262.27,42.6,108.17,87.26,114.25,74.79,5.4,61.92,134.75,110.8,23.96,22.74,3.1,7.32,5.51,8.23,2.59,2.92,17.84,42.01,99.28,13.54,54.92,93848.52,7328.45,0,0,42685.7,0.080631863,0.103122629,0.162545123,96954122.67,19,0.418069916,11.03,0.65,0,0,0
(주)휴비스,A079980,2019,1,20,20,화학물질및화학제품제조업;의약품제외,C,C5,2012.2.23,,-8.45,4.65,-44.17,-22.43,-2.88,-18.47,0.47,-0.03,-0.07,-0.16,0.97,90.18,0.88,12.47,3.67,0,2.86,1.39,58.55,45.16,148.62,110.05,84.29,43.84,4.4,98.85,121.44,86.39,35.04,33.45,2.56,5.97,5.6,6.5,2,2.4,14.71,32.77,77.88,12.54,60.9,78595.98,9237.52,0,0,39657.61,-0.022607548,-0.028981481,-0.050717098,86890726.93,20,0.262213801,10.86,0.52,0,0,0
(주)휴비스,A079980,2020,1,20,20,화학물질및화학제품제조업;의약품제외,C,C5,2012.2.23,,-0.49,-0.39,37.95,-16.66,19.74,-10.59,4.33,8.98,19.01,47.64,10.41,86.6,0.91,13.57,3.41,0,5.72,2.31,12.7,54.51,99.82,82.62,133.53,94.82,53.77,103.51,83.46,62.63,20.82,23.74,2.11,5.34,8.01,7.25,1.73,2.1,27.7,60.47,145.32,26.27,36.39,87995.78,8441.69,0,0,42701.42,0.203492159,0.204940045,0.375804242,79847594.93,21,0.645428507,0,0.72,0,0,0
(주)휴비스,A079980,2021,1,20,20,화학물질및화학제품제조업;의약품제외,C,C5,2012.2.23,,0,0,0,0,0,0,0.6,0.32,0.78,2.12,0.94,91.93,0.4,13.23,2.83,0,5.72,2.37,305.47,55.47,107.19,97.92,103.22,56.04,9.99,100.3,80.28,70.81,9.47,20.74,2.31,6.28,7.99,6.93,2.16,2.38,15.87,32.5,78.57,12.36,61.98,82956.86,4457.55,0,0,44172.04,-0.037400813,-0.030623761,-0.051004296,86307771.37,22,0.357939277,3.44,0.63,0,0,0
(주)휴비스,A079980,2022,1,20,20,화학물질및화학제품제조업;의약품제외,C,C5,2012.2.23,,-5.89,-3.65,-18.06,-11.89,-18.35,-5.62,-8.12,-7.97,-19,-46.71,-9.03,99.8,0.66,13.73,3.57,0,0,0,0,48.03,134.7,101.87,96.75,49.2,8.36,104.38,108.19,75.95,32.23,32.58,2.41,5.92,8.66,6.95,2.01,2.29,4.92,9.47,22.74,3.82,222.27,86822.48,7579.86,0,0,46866.77,-0.079696829,-0.073966262,-0.140591936,81405107.07,23,0.314254922,44.01,0.34,0,0,0
(주)휴스틸,A005010,2014,1,24,24,1차금속제조업,C,C7,1973.6.29,,3.05,1.5,13.02,23.82,-2.13,1.11,3.51,2.72,3.74,43.48,3.19,87.14,0.57,6.7,3.15,0,14,1.21,34.69,68.67,82.26,77.23,161.99,64.86,21.1,181.89,45.62,39.12,6.51,21.83,1.38,16.01,16.97,4.06,1.66,2.32,13.7,33.18,97.22,14.32,56.09,44477.22,3127.76,739.31,1037.24,13016.77,0.062772441,0.026318372,0.080262976,44720990.63,48,0.24851107,19.91,0.3,0,0,0
(주)휴스틸,A005010,2015,1,24,24,1차금속제조업,C,C7,1973.6.29,,-11.19,8.36,-35.41,-51.33,-0.93,-20.83,1.88,0.16,0.18,2,0.05,90.15,-0.1,6.81,2.54,0,8,0.7,139.75,76.6,89.24,83.96,170.25,93.32,31.96,208.56,30.55,24.27,6.29,12.46,1.11,12.68,14.66,3.91,1.29,1.75,12.46,25.82,77.76,14.6,68.8,44050.49,-430.23,736.41,1088.68,13204.3,0.686860947,0.261852793,1.286749817,35320104.03,49,0.247195277,7.08,0.27,0,0,0
(주)휴스틸,A005010,2016,1,24,24,1차금속제조업,C,C7,1973.6.29,,14.18,-2.82,51.78,55.18,-1.97,-16.98,0.37,-0.15,-0.14,-1.61,0.21,89.41,0.46,6.2,2.1,0,8,0.7,129.48,65.76,88.1,80.25,151.26,81.38,37.81,163.9,52.07,42.29,9.78,21.29,0.93,10.52,10.72,3.88,1.05,1.41,9.69,22.44,65.75,15.62,73.98,42061.46,1703.31,717.06,731.85,12319.69,-0.143285751,-0.059036376,-0.216119968,34577205.9,50,0.240421166,154,0.27,0,0,0
(주)휴스틸,A005010,2017,1,24,24,1차금속제조업,C,C7,1973.6.29,,12.31,-2.65,40.06,23.2,-2.33,89.71,3.29,0.53,0.97,10.65,1.44,89.83,0.76,5.94,3.45,0,10,0.89,51.96,57.19,83.13,76.26,139.31,82.69,16.44,354.38,74.86,65.85,9.01,30.4,1.81,19.96,16.13,5.43,2.11,2.76,11.31,30.26,90.4,10.79,63.26,47154.54,5283,727.88,955.84,11720.94,-0.383323343,-0.2427472,-0.475819826,48445400.97,51,0.195382701,0,0.28,0,0,0
(주)휴스틸,A005010,2018,1,24,24,1차금속제조업,C,C7,1973.6.29,,-8.44,-1.33,-13.24,14.18,7.72,-14.74,3.05,2.92,4.39,47.56,3.59,92.23,0.94,5.83,3.82,0,8,0.74,34.53,67.28,74.75,71.31,168.67,78.46,39.85,126.4,48.63,43.8,4.83,18.85,1.5,16.29,13,3.91,1.91,2.4,13.94,35.36,109.17,14.29,54.06,45484.2,5481.07,853.62,1579.46,11087.43,0.474856838,0.290878688,1.187620374,42537541.53,52,0.537978181,21.67,0.21,0,0,0
(주)휴스틸,A005010,2019,1,24,24,1차금속제조업,C,C7,1973.6.29,,-4.04,1.02,-11.64,-16.7,-2.33,-8.79,-2.41,-2.34,-3.13,-33.1,-1.52,96.99,0.64,6.35,3.71,0,6,0.56,0,68.48,79.2,72.54,181.34,89.9,35.17,266.62,46.03,36.86,9.17,19.13,1.34,14.17,15.15,3.65,1.74,2.19,8.5,20.7,63.49,9.17,92.95,45764.54,3560.22,562.36,1915.36,11701.01,0.045570703,0.021575762,0.093709056,37959367.4,53,0.253198693,4.23,0.19,0,0,0
(주)휴스틸,A005010,2020,1,24,24,1차금속제조업,C,C7,1973.6.29,,4.32,6.62,-1.35,-6.36,4.52,-31.91,4.83,2.36,2.13,22.68,1.89,88.04,0.7,6.63,2.54,0,3.5,0.32,0,68.61,82.68,71.5,209.42,109.18,34.42,217.94,45.76,30.12,15.64,19.3,0.9,9.59,14.17,2.83,1.11,1.44,11.55,26.62,98.93,19.08,58.57,40862.17,2519.96,552.48,1837.69,11775.35,0.113691341,0.052176627,0.228509866,31063315.23,54,0.363994292,0,0.14,0,0,0
(주)휴스틸,A005010,2021,1,24,24,1차금속제조업,C,C7,1973.6.29,,57.57,75.6,57.56,88.63,51.13,68.62,10.25,6.16,7.3,98.29,4.61,84.98,-0.37,6.56,2.15,0,16,1.03,25.66,65.8,86.21,69.55,234.65,100.18,30.65,172.95,51.97,28.03,23.94,13.22,1.18,15.95,15.17,3.41,1.4,1.71,11.37,23.67,145.23,17.56,41.52,44956.22,-2144.47,582.21,2893.83,11620.39,0.0111184,0.005503172,0.014761695,47754962.97,55,0.581025934,12.83,0.27,0,0,0
(주)휴스틸,A005010,2022,1,24,24,1차금속제조업,C,C7,1973.6.29,,26.73,6.12,55.51,-16.3,45.14,67.22,28.05,22.03,29.59,476.33,21.09,68.59,0.05,9.99,3.37,0,35,2.7,30.16,75.36,62.23,55.97,327.75,226.66,135.39,282.83,32.69,21.5,11.19,9.09,1.34,21.62,18.93,4.75,1.86,2.17,29.64,79.37,518.23,34.68,13.56,48484.4,420.7,607.78,2917.18,18009.87,0.662722949,0.268749826,0.652143552,78309229.77,56,0.658209756,5.65,0.35,0,0,0
CS홀딩스(주),A000590,2014,1,71,71,전문서비스업,M,,1975.12.22,,11.3,-0.24,19.06,9.82,7.77,-3.12,14.83,10.15,3.99,127.44,5.16,75.87,-1.27,10.93,1.27,0,0,0,0,86.19,56.31,53.22,584.04,448.76,240.46,235.38,16.03,10.23,5.8,2.19,0.66,24.52,15.88,4.77,1.14,1.84,17.85,60.55,917.4,32.83,45.74,21256.37,-1601.15,4559.88,490.98,2379.28,0.443898154,0.068508603,0.415906944,9505875.1,67,0.527629424,12,0.54,0,0,0
CS홀딩스(주),A000590,2015,1,71,71,전문서비스업,M,,1975.12.22,,9.44,-3.44,26.75,-12.43,7.09,-1.83,16.33,21.3,10.91,374.35,10.13,73.36,-1.68,10.05,1,0,0,0,0,86.29,46.81,44.83,601.6,505.32,259.83,201.35,15.89,11.48,4.41,3.08,0.59,24.07,17.16,4.77,1.15,1.84,22.46,86.39,1125.14,46.06,35.14,22492.95,-1998.16,4517.02,491.72,2097.53,0.715427175,0.114149425,0.787998994,11601486.8,68,0.293705781,12.37,0.48,0,0,0
CS홀딩스(주),A000590,2016,1,71,71,전문서비스업,M,,1975.12.22,,3.16,-0.36,5.22,-7.44,4.46,-11.39,16.11,13.92,4.41,159.9,5.28,72.81,-1.74,10.69,1.02,0,9.94,0.35,97.97,89.1,43.99,42.54,773.92,664.96,297.79,210.85,12.23,8.82,3.42,2.47,0.49,21.33,15.42,4.71,1.07,1.66,16.55,66.06,821.49,39.5,45.59,22174.54,-1845.87,4136.75,492.11,2159.92,0.466955178,0.06539451,0.564893211,10655491.13,69,0.218602874,4.28,0.45,0,0,0
CS홀딩스(주),A000590,2017,1,71,71,전문서비스업,M,,1975.12.22,,2.89,-49.02,3.83,-0.94,1.07,-1.77,14.08,11.79,2.74,102.13,4.16,74.2,-1.74,10.74,1.73,100,9.94,0.35,45.72,89.09,43.38,42.02,764.01,661.39,335.83,243.26,12.25,9.01,3.24,2.71,0.46,20.95,17.25,4.83,1.04,2.16,14.19,119.16,851.1,35.47,49.29,21147.12,-1873.99,3571.66,572.84,2149.88,0.518715561,0.063499303,0.603647421,9867271.667,70,0.184478605,9.97,0.43,0,0,0
CS홀딩스(주),A000590,2018,1,71,71,전문서비스업,M,,1975.12.22,,0.66,-3.31,1.58,11.96,1.16,1.32,10.87,10.32,2.89,108.7,3.37,76.72,-2.18,12.73,3.63,0,9.94,0.35,33.86,90.26,42.2,40.87,907.08,772.8,377.79,266.86,10.8,7.56,3.23,1.7,0.45,21.23,19.22,4.64,1.05,3.3,12.65,109.74,859.66,31.42,56.15,21624.38,-2430.02,0,718.37,2481.35,0.32507869,0.037436512,0.317051296,10108499.77,71,0.369908523,12.44,0.34,0,0,0
CS홀딩스(주),A000590,2019,1,71,71,전문서비스업,M,,1975.12.22,,3.24,10.6,3.34,1.28,3.23,10.14,12.61,12.3,4.35,167.65,4.5,75.48,-2.21,15.11,2.12,100,9.94,0.34,31.84,91.05,41.76,40.49,1017.94,870.24,537.41,252.18,9.83,6.69,3.15,0.79,0.48,23.38,19.71,4.81,1.15,3.51,14.32,129.98,1030.28,33.34,51.4,23132.66,-2672.99,0,927.94,2882.93,0.667178855,0.068756259,0.539475918,11033097.77,72,0.184963319,10.7,0.31,0,0,0
CS홀딩스(주),A000590,2020,1,71,71,전문서비스업,M,,1975.12.22,,3,-14.96,-2.53,10.39,7.4,-2.47,12.08,8.99,3.26,132.32,3.14,74.8,-1.47,16.72,2.34,0,9.94,0.34,61.26,91.3,45.29,43.93,1000.6,836.18,705.08,266.08,9.53,6.42,3.11,0.77,0.45,22.8,19.68,4.43,1.04,3.52,12.73,120.59,929.23,31.31,59.53,24533.4,-1821.15,0,1215.76,3123.7,0.525959743,0.050906762,0.455749371,11130966.43,73,0.567306534,6.99,0.3,0,0,0
